time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1708009871329667000,50.1116669921875,0.9743602871894836,0.005047862883657217,-0.014064325019717216,0.22449690103530884,0.02967843972146511,-0.0035220866557210684,-2.6886355876922607
1708009871348235800,50.13023583984375,0.9743305444717407,0.005081030074506998,-0.014878211542963982,0.22457265853881836,0.03127997741103172,-0.00321873277425766,-2.6884765625
1708009871366778400,50.1487783203125,0.974085807800293,0.004800635389983654,-0.014761373400688171,0.22564597427845,0.030929220840334892,-0.0026907757855951786,-2.6862833499908447
1708009871385347000,50.16734716796875,0.9740393161773682,0.003977947402745485,-0.013950166292488575,0.22591398656368256,0.02897745370864868,-0.0014462796971201897,-2.685760736465454
1708009871403902700,50.18590283203125,0.9742457866668701,0.004258432425558567,-0.013627758249640465,0.22503618896007538,0.02847408689558506,-0.0021640437189489603,-2.687554359436035
1708009871422445300,50.2044453125,0.9742969274520874,0.004999291617423296,-0.014386259019374847,0.2247520536184311,0.03028496913611889,-0.003274911781772971,-2.688112497329712
1708009871441013800,50.223013671875,0.9740486145019531,0.004906965885311365,-0.014454756863415241,0.22582344710826874,0.03038030117750168,-0.0030308053828775883,-2.6859161853790283
1708009871459556600,50.241556640625,0.9739506840705872,0.003908223006874323,-0.013360238634049892,0.2263326197862625,0.02779715694487095,-0.0015651179710403085,-2.684904098510742
1708009871478125000,50.260125,0.974128246307373,0.003674016334116459,-0.012575045228004456,0.22561584413051605,0.026160256937146187,-0.0014836677582934499,-2.6863832473754883
1708009871496668000,50.27866796875,0.9742229580879211,0.004089421592652798,-0.013156404718756676,0.22516608238220215,0.027479656040668488,-0.002043265849351883,-2.687293767929077
1708009871515236400,50.297236328125,0.9740129709243774,0.0037878681905567646,-0.013529930263757706,0.22605623304843903,0.02807290479540825,-0.0012618157779797912,-2.6854748725891113
1708009871533792000,50.3157919921875,0.9738587141036987,0.0026649758219718933,-0.012737954966723919,0.22678162157535553,0.02602161094546318,0.0005868482985533774,-2.6840169429779053
1708009871552347600,50.33434765625,0.9740040302276611,0.002065816894173622,-0.012014467269182205,0.22620262205600739,0.024341292679309845,0.0014111804775893688,-2.68522047996521
1708009871570903300,50.3529033203125,0.9741659760475159,0.002616677200421691,-0.012604445219039917,0.22546640038490295,0.02574043534696102,0.0005856021889485419,-2.686718463897705
1708009871589459000,50.371458984375,0.9740461111068726,0.0027599611785262823,-0.013394798152148724,0.22593629360198975,0.02734486758708954,0.0006760834367014468,-2.6857504844665527
1708009871608014600,50.3900146484375,0.9738438725471497,0.0021230406127870083,-0.01293608546257019,0.22683995962142944,0.026161659508943558,0.0017338230973109603,-2.6839118003845215
1708009871626557400,50.408557373046875,0.9739497900009155,0.0016439222963526845,-0.012112452648580074,0.22643417119979858,0.024340789765119553,0.002283153124153614,-2.684755325317383
1708009871645126000,50.4271259765625,0.9741719961166382,0.0024970259983092546,-0.012295691296458244,0.22545820474624634,0.02508482150733471,0.0006792634376324713,-2.6867380142211914
1708009871663681500,50.445681640625,0.9741089940071106,0.0030873871874064207,-0.013221937231719494,0.22567111253738403,0.027156023308634758,-0.00004728464409708977,-2.6862857341766357
1708009871682224000,50.46422412109375,0.9739382266998291,0.0030573264230042696,-0.013005276210606098,0.22641980648040771,0.026720328256487846,-0.00006598979234695435,-2.6847493648529053
1708009871700792800,50.482792724609375,0.9740278720855713,0.0027461342979222536,-0.012356672435998917,0.22607403993606567,0.025315850973129272,0.00023742299526929855,-2.685467481613159
1708009871719348500,50.50134838867187,0.974263608455658,0.0035741713363677263,-0.012723308056592941,0.22502422332763672,0.02640335075557232,-0.0012382654240354896,-2.6876003742218018
1708009871737904000,50.519904052734375,0.9742552042007446,0.004581336863338947,-0.013751921243965626,0.22498178482055664,0.028861310333013535,-0.0027389226015657187,-2.6876559257507324
