time,seconds_elapsed,dBFS
1708009841499000000,20.281,-96
1708009841616000000,20.398,-94
1708009841733000000,20.515,-97
1708009841848000000,20.63,-101
1708009841964000000,20.746,-101
1708009842080000000,20.862,-90
1708009842196000000,20.978,-95
1708009842312000000,21.094,-98
1708009842428000000,21.21,-105
1708009842545000000,21.327,-82
1708009842661000000,21.443,-85
1708009842778000000,21.559999755859376,-97
1708009842895000000,21.677,-112
1708009843012000000,21.794,-103
1708009843128000000,21.91,-104
1708009843245000000,22.027,-105
1708009843362000000,22.143999755859376,-104
1708009843478000000,22.260000244140624,-98
1708009843589000000,22.371,-112
1708009843707000000,22.489,-110
1708009843823000000,22.605,-105
1708009843940000000,22.722,-106
1708009844056000000,22.838,-100
1708009844173000000,22.955,-101
1708009844289000000,23.071,-115
1708009844407000000,23.189,-111
1708009844533000000,23.315,-107
1708009844651000000,23.433,-102
1708009844767000000,23.549,-103
1708009844885000000,23.667,-118
1708009845000000000,23.782,-116
1708009845117000000,23.899,-108
1708009845235000000,24.017,-114
1708009845351000000,24.133,-108
1708009845467000000,24.249,-114
1708009845579000000,24.361,-110
1708009845694000000,24.476000244140625,-116
1708009845812000000,24.594,-113
1708009845927000000,24.709,-113
1708009846044000000,24.826,-102
1708009846161000000,24.943,-110
1708009846278000000,25.060000244140625,-113
1708009846395000000,25.177,-102
1708009846510000000,25.292000244140624,-112
1708009846622000000,25.404000244140626,-109
1708009846739000000,25.521,-112
1708009846855000000,25.637,-109
1708009846972000000,25.754,-107
1708009847088000000,25.87,-112
1708009847205000000,25.987,-99
1708009847322000000,26.103999755859373,-101
1708009847439000000,26.221,-96
1708009847566000000,26.348000244140625,-107
1708009847683000000,26.465,-117
1708009847802000000,26.583999755859374,-112
1708009847919000000,26.701,-115
1708009848033000000,26.815,-104
1708009848151000000,26.933,-110
1708009848266000000,27.047999755859376,-116
1708009848384000000,27.166,-113
1708009848501000000,27.283,-102
1708009848611000000,27.393,-114
1708009848728000000,27.51,-114
1708009848845000000,27.627,-102
1708009848962000000,27.743999755859374,-96
1708009849078000000,27.860000244140625,-92
1708009849195000000,27.977,-101
1708009849313000000,28.095,-109
1708009849428000000,28.21,-112
1708009849544000000,28.326,-108
1708009849657000000,28.439,-99
1708009849773000000,28.555,-119
1708009849889000000,28.671,-104
1708009850007000000,28.789,-109
1708009850122000000,28.903999755859374,-115
1708009850240000000,29.022,-113
1708009850355000000,29.137,-110
1708009850474000000,29.255999755859374,-112
1708009850589000000,29.371,-101
1708009850700000000,29.482,-109
1708009850817000000,29.599,-114
1708009850933000000,29.715,-116
1708009851050000000,29.831999755859375,-120
1708009851167000000,29.949,-113
1708009851284000000,30.066,-116
1708009851400000000,30.182,-111
1708009851516000000,30.298,-115
1708009851627000000,30.409,-107
1708009851743000000,30.525,-100
1708009851861000000,30.643,-103
1708009851977000000,30.759,-110
1708009852094000000,30.876000244140624,-105
1708009852210000000,30.991999755859375,-107
1708009852328000000,31.11,-107
1708009852443000000,31.225,-115
1708009852560000000,31.342,-104
1708009852671000000,31.453,-111
1708009852788000000,31.57,-116
1708009852906000000,31.687999755859376,-102
1708009853023000000,31.805,-114
1708009853139000000,31.921,-115
1708009853255000000,32.037,-115
1708009853373000000,32.155,-110
1708009853489000000,32.271,-109
1708009853604000000,32.386,-116
1708009853716000000,32.498,-107
1708009853832000000,32.614,-113
1708009853949000000,32.731,-116
1708009854065000000,32.847,-113
1708009854183000000,32.965,-107
1708009854299000000,33.081,-118
1708009854415000000,33.197,-108
1708009854532000000,33.314,-113
1708009854660000000,33.442,-107
1708009854776000000,33.558,-109
1708009854892000000,33.674,-107
1708009855009000000,33.791,-110
1708009855125000000,33.907,-62
1708009855242000000,34.02399975585938,-51
1708009855360000000,34.142,-57
1708009855477000000,34.259,-66
1708009855593000000,34.375,-57
1708009855706000000,34.48799975585938,-61
1708009855820000000,34.602,-66
1708009855936000000,34.718,-93
1708009856055000000,34.837,-77
1708009856169000000,34.951,-101
1708009856288000000,35.07,-68
1708009856403000000,35.185,-72
1708009856520000000,35.302,-72
1708009856636000000,35.418,-105
1708009856749000000,35.531,-106
1708009856866000000,35.647999755859374,-108
1708009856982000000,35.764000244140625,-107
1708009857098000000,35.87999975585937,-112
1708009857215000000,35.997,-101
1708009857332000000,36.114,-104
1708009857449000000,36.231,-113
1708009857566000000,36.34800024414063,-109
1708009857693000000,36.475,-105
1708009857810000000,36.591999755859376,-114
1708009857926000000,36.70800024414063,-107
1708009858043000000,36.825,-96
1708009858158000000,36.94000024414063,-91
1708009858276000000,37.058,-68
1708009858393000000,37.175,-110
1708009858510000000,37.292000244140624,-92
1708009858626000000,37.40799975585937,-69
1708009858737000000,37.519,-64
1708009858853000000,37.635,-74
1708009858970000000,37.75199975585937,-80
1708009859088000000,37.87,-79
1708009859204000000,37.986,-112
1708009859321000000,38.103,-110
1708009859438000000,38.22000024414063,-108
1708009859553000000,38.335,-109
1708009859670000000,38.45200024414063,-112
1708009859781000000,38.563,-114
1708009859898000000,38.67999975585938,-109
1708009860013000000,38.795,-103
1708009860130000000,38.91199975585938,-102
1708009860246000000,39.02800024414063,-82
1708009860363000000,39.145,-65
1708009860480000000,39.262,-60
1708009860597000000,39.379,-63
1708009860713000000,39.495,-62
